id,title,duration,director,actors,genres,year
418,Harry Potter and the Deathly Hallows: Part 1,146,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy","Adventure,Family,Fantasy",2010
419,Shame,101,Steve McQueen,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",Drama,2011
420,Hanna,111,Joe Wright,"Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps","Action,Drama,Thriller",2011
421,The Babysitters,88,David Ross,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",Drama,2007
422,Pride and Prejudice and Zombies,108,Burr Steers,"Lily James, Sam Riley, Jack Huston, Bella Heathcote","Action,Horror,Romance",2016
423,300: Rise of an Empire,102,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson","Action,Drama,Fantasy",2014
424,London Has Fallen,99,Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett","Action,Crime,Drama",2016
425,The Curious Case of Benjamin Button,166,David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond","Drama,Fantasy,Romance",2008
426,Sin City: A Dame to Kill For,102,Frank Miller,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt","Action,Crime,Thriller",2014
427,The Bourne Ultimatum,115,Paul Greengrass,"Matt Damon, Edgar RamÃ­rez, Joan Allen, Julia Stiles","Action,Mystery,Thriller",2007
428,Srpski film,104,Srdjan Spasojevic,"Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic","Horror,Mystery,Thriller",2010
429,The Purge: Election Year,109,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria","Action,Horror,Sci-Fi",2016
430,3 Idiots,170,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Comedy,Drama",2009
431,Zoolander 2,102,Ben Stiller,"Ben Stiller, Owen Wilson, PenÃ©lope Cruz, Will Ferrell",Comedy,2016
432,World War Z,116,Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale","Action,Adventure,Horror",2013
433,Mission: Impossible - Ghost Protocol,132,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","Action,Adventure,Thriller",2011
434,Let Me Make You a Martyr,102,Corey Asraf,"Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera","Action,Crime,Drama",2016
435,Filth,97,Jon S. Baird,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots","Comedy,Crime,Drama",2013
436,The Longest Ride,123,George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston","Drama,Romance",2015
437,The imposible,114,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast","Drama,Thriller",2012
438,Kick-Ass 2,103,Jeff Wadlow,"Aaron Taylor-Johnson, ChloÃ« Grace Moretz,Christopher Mintz-Plasse, Jim Carrey","Action,Comedy,Crime",2013
439,Folk Hero & Funny Guy,88,Jeff Grace,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey",Comedy,2016
440,Oz the Great and Powerful,130,Sam Raimi,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis","Adventure,Family,Fantasy",2013
441,Brooklyn,117,John Crowley,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent","Drama,Romance",2015
442,Coraline,100,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders","Animation,Family,Fantasy",2009
443,Blue Valentine,112,Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka","Drama,Romance",2010
444,The Thinning,81,Michael J. Gallagher,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy",Thriller,2016
445,Silent Hill,125,Christophe Gans,"Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger","Adventure,Horror,Mystery",2006
446,Dredd,95,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood","Action,Sci-Fi",2012
447,Hunt for the Wilderpeople,101,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House","Adventure,Comedy,Drama",2016
448,Big Hero 6,102,Don Hall,"Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller","Animation,Action,Adventure",2014
449,Carrie,100,Kimberly Peirce,"ChloÃ« Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday","Drama,Horror",2013
450,Iron Man 2,124,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle","Action,Adventure,Sci-Fi",2010
451,Demolition,101,Jean-Marc VallÃ©e,"Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis","Comedy,Drama",2015
452,Pandorum,108,Christian Alvart,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue","Action,Horror,Mystery",2009
453,Olympus Has Fallen,119,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett","Action,Thriller",2013
454,I Am Number Four,109,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer","Action,Adventure,Sci-Fi",2011
455,Jagten,115,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse FogelstrÃ¸m",Drama,2012
456,The Proposal,108,Anne Fletcher,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson","Comedy,Drama,Romance",2009
457,Get Hard,100,Etan Cohen,"Will Ferrell, Kevin Hart, Alison Brie, T.I.","Comedy,Crime",2015
458,Just Go with It,117,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman","Comedy,Romance",2011
459,Revolutionary Road,119,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie","Drama,Romance",2008
460,The Town,125,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner","Crime,Drama,Thriller",2010
461,The Boy,97,William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton","Horror,Mystery,Thriller",2016
462,Denial,109,Mick Jackson,"Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott","Biography,Drama",2016
463,Predestination,97,Michael Spierig,"Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West","Drama,Mystery,Sci-Fi",2014
464,Goosebumps,103,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee","Adventure,Comedy,Family",2015
465,Sherlock Holmes: A Game of Shadows,129,Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams","Action,Adventure,Crime",2011
466,Salt,100,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski","Action,Crime,Mystery",2010
467,Enemy,91,Denis Villeneuve,"Jake Gyllenhaal, MÃ©lanie Laurent, Sarah Gadon,Isabella Rossellini","Mystery,Thriller",2013
468,District 9,112,Neill Blomkamp,"Sharlto Copley, David James, Jason Cope, Nathalie Boltt","Action,Sci-Fi,Thriller",2009
469,The Other Guys,107,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes","Action,Comedy,Crime",2010
470,American Gangster,157,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin","Biography,Crime,Drama",2007
471,Marie Antoinette,123,Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis","Biography,Drama,History",2006
472,2012,158,Roland Emmerich,"John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet","Action,Adventure,Sci-Fi",2009
473,Harry Potter and the Half-Blood Prince,153,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","Adventure,Family,Fantasy",2009
474,Argo,120,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin","Biography,Drama,History",2012
475,Eddie the Eagle,106,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley","Biography,Comedy,Drama",2016
476,The Lives of Others,137,Florian Henckel von Donnersmarck,"Ulrich MÃ¼he, Martina Gedeck,Sebastian Koch, Ulrich Tukur","Drama,Thriller",2006
477,Pet,94,Carles Torrens,"Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald","Horror,Thriller",2016
478,Paint It Black,96,Amber Tamblyn,"Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina",Drama,2016
479,Macbeth,113,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan","Drama,War",2015
480,Forgetting Sarah Marshall,111,Nicholas Stoller,"Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis","Comedy,Drama,Romance",2008
481,The Giver,97,Phillip Noyce,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift","Drama,Romance,Sci-Fi",2014
482,Triple 9,115,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie,Aaron Paul","Action,Crime,Drama",2016
483,Perfetti sconosciuti,97,Paolo Genovese,"Giuseppe Battiston, Anna Foglietta, Marco Giallini,Edoardo Leo","Comedy,Drama",2016
484,Angry Birds,97,Clay Kaytis,"Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph","Animation,Action,Adventure",2016
485,Moonrise Kingdom,94,Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray","Adventure,Comedy,Drama",2012
486,Hairspray,117,Adam Shankman,"John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer","Comedy,Drama,Family",2007
487,Safe Haven,115,Lasse HallstrÃ¶m,"Julianne Hough, Josh Duhamel, Cobie Smulders,David Lyons","Drama,Romance,Thriller",2013
488,Focus,105,Glenn Ficarra,"Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez","Comedy,Crime,Drama",2015
489,Ratatouille,111,Brad Bird,"Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm","Animation,Comedy,Family",2007
490,Stake Land,98,Jim Mickle,"Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones","Drama,Horror,Sci-Fi",2010
491,The Book of Eli,118,Albert Hughes,"Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman","Action,Adventure,Drama",2010
492,Cloverfield,85,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller","Action,Horror,Sci-Fi",2008
493,Point Break,114,Ericson Core,"Edgar RamÃ­rez, Luke Bracey, Ray Winstone, Teresa Palmer","Action,Crime,Sport",2015
494,Under the Skin,108,Jonathan Glazer,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell","Drama,Horror,Sci-Fi",2013
495,I Am Legend,101,Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield","Drama,Horror,Sci-Fi",2007
496,Men in Black 3,106,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement","Action,Adventure,Comedy",2012
497,Super 8,112,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney","Mystery,Sci-Fi,Thriller",2011
498,Law Abiding Citizen,109,F. Gary Gray,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney","Crime,Drama,Thriller",2009
499,Up,96,Pete Docter,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer","Animation,Adventure,Comedy",2009
500,Maze Runner: The Scorch Trials,131,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Giancarlo Esposito","Action,Sci-Fi,Thriller",2015
501,Carol,118,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler","Drama,Romance",2015
502,Imperium,109,Daniel Ragussis,"Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell","Crime,Drama,Thriller",2016
503,Youth,124,Paolo Sorrentino,"Michael Caine, Harvey Keitel, Rachel Weisz, Jane Fonda","Comedy,Drama,Music",2015
504,Mr. Nobody,141,Jaco Van Dormael,"Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham","Drama,Fantasy,Romance",2009
505,City of Tiny Lights,110,Pete Travis,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo","Crime,Drama,Thriller",2016
506,Savages,131,Oliver Stone,"Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively,Benicio Del Toro","Crime,Drama,Thriller",2012
507,(500) Days of Summer,95,Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, ChloÃ« Grace Moretz","Comedy,Drama,Romance",2009
508,Movie 43,94,Elizabeth Banks,"Emma Stone, Stephen Merchant, Richard Gere, Liev Schreiber","Comedy,Romance",2013
509,Gravity,91,Alfonso CuarÃ³n,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","Drama,Sci-Fi,Thriller",2013
510,The Boy in the Striped Pyjamas,94,Mark Herman,"Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien","Drama,War",2008
511,Shooter,124,Antoine Fuqua,"Mark Wahlberg, Michael PeÃ±a, Rhona Mitra, Danny Glover","Action,Crime,Drama",2007
512,The Happening,91,M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez","Sci-Fi,Thriller",2008
513,Bone Tomahawk,132,S. Craig Zahler,"Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins","Adventure,Drama,Horror",2015
514,Magic Mike XXL,115,Gregory Jacobs,"Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez","Comedy,Drama,Music",2015
515,Easy A,92,Will Gluck,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd","Comedy,Drama,Romance",2010
516,Exodus: Gods and Kings,150,Ridley Scott,"Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver","Action,Adventure,Drama",2014
517,Chappie,120,Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman,Sigourney Weaver","Action,Crime,Drama",2015
518,The Hobbit: The Desolation of Smaug,161,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott","Adventure,Fantasy",2013
519,Half of a Yellow Sun,111,Biyi Bandele,"Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose,Joseph Mawle","Drama,Romance",2013
520,Anthropoid,120,Sean Ellis,"Jamie Dornan, Cillian Murphy, Brian Caspe, Karel HermÃ¡nek Jr.","Biography,History,Thriller",2016
521,The Counselor,117,Ridley Scott,"Michael Fassbender, PenÃ©lope Cruz, Cameron Diaz,Javier Bardem","Crime,Drama,Thriller",2013
522,Viking,133,Andrey Kravchuk,"Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer","Action,Drama,History",2016
523,Whiskey Tango Foxtrot,112,Glenn Ficarra,"Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina","Biography,Comedy,Drama",2016
524,Trust,106,David Schwimmer,"Clive Owen, Catherine Keener, Liana Liberato,Jason Clarke","Crime,Drama,Thriller",2010
525,Birth of the Dragon,103,George Nolfi,"Billy Magnussen, Terry Chen, Teresa Navarro,Vanessa Ross","Action,Biography,Drama",2016
526,Elysium,109,Neill Blomkamp,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga","Action,Drama,Sci-Fi",2013
527,The Green Inferno,100,Eli Roth,"Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton","Adventure,Horror",2013
528,Godzilla,123,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe","Action,Adventure,Sci-Fi",2014
529,The Bourne Legacy,135,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn","Action,Adventure,Mystery",2012
530,A Good Year,117,Ridley Scott,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard","Comedy,Drama,Romance",2006
531,Friend Request,92,Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan","Horror,Thriller",2016
532,Deja Vu,126,Tony Scott,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer","Action,Sci-Fi,Thriller",2006
533,Lucy,89,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked","Action,Sci-Fi,Thriller",2014
534,A Quiet Passion,125,Terence Davies,"Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine","Biography,Drama",2016
535,Need for Speed,132,Scott Waugh,"Aaron Paul, Dominic Cooper, Imogen Poots, Scott Mescudi","Action,Crime,Drama",2014
536,Jack Reacher,130,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog","Action,Crime,Mystery",2012
537,The Do-Over,108,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn","Action,Adventure,Comedy",2016
538,True Crimes,92,Alexandros Avranas,"Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen","Crime,Drama,Thriller",2016
539,American Pastoral,108,Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert","Crime,Drama",2016
540,The Ghost Writer,128,Roman Polanski,"Ewan McGregor, Pierce Brosnan, Olivia Williams,Jon Bernthal","Mystery,Thriller",2010
541,Limitless,105,Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro","Mystery,Sci-Fi,Thriller",2011
542,Spectral,107,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini","Action,Mystery,Sci-Fi",2016
543,P.S. I Love You,126,Richard LaGravenese,"Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow","Drama,Romance",2007
544,Zipper,103,Mora Stephens,"Patrick Wilson, Lena Headey, Ray Winstone,Richard Dreyfuss","Drama,Thriller",2015
545,Midnight Special,112,Jeff Nichols,"Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver","Drama,Mystery,Sci-Fi",2016
546,Don't Think Twice,92,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,Chris Gethard","Comedy,Drama",2016
547,Alice in Wonderland,108,Tim Burton,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway","Adventure,Family,Fantasy",2010
548,Chuck,98,Philippe Falardeau,"Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber","Biography,Drama,Sport",2016
549,"I, Daniel Blake",100,Ken Loach,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann",Drama,2016
550,The Break-Up,106,Peyton Reed,"Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams","Comedy,Drama,Romance",2006
551,Loving,123,Jeff Nichols,"Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford","Biography,Drama,Romance",2016
552,Fantastic Four,100,Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell","Action,Adventure,Sci-Fi",2015
553,The Survivalist,104,Stephen Fingleton,"Mia Goth, Martin McCann, Barry Ward, Andrew Simpson","Drama,Sci-Fi,Thriller",2015
554,Colonia,106,Florian Gallenberger,"Emma Watson, Daniel BrÃ¼hl, Michael Nyqvist,Richenda Carey","Drama,Romance,Thriller",2015
555,The Boy Next Door,91,Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett","Mystery,Thriller",2015
556,The Gift,108,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman","Mystery,Thriller",2015
557,Dracula Untold,92,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson","Action,Drama,Fantasy",2014
558,In the Heart of the Sea,122,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw","Action,Adventure,Biography",2015
559,Idiocracy,84,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews","Adventure,Comedy,Sci-Fi",2006
560,The Expendables,103,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","Action,Adventure,Thriller",2010
561,Evil Dead,91,Fede Alvarez,"Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci","Fantasy,Horror",2013
562,Sinister,110,Scott Derrickson,"Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson","Horror,Mystery",2012
563,Wreck-It Ralph,101,Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman","Animation,Adventure,Comedy",2012
564,Snow White and the Huntsman,127,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin","Action,Adventure,Drama",2012
565,Pan,111,Joe Wright,"Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara","Adventure,Family,Fantasy",2015
566,Transformers: Dark of the Moon,154,Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel","Action,Adventure,Sci-Fi",2011
567,Juno,96,Jason Reitman,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman","Comedy,Drama",2007
568,A Hologram for the King,98,Tom Tykwer,"Tom Hanks, Sarita Choudhury, Ben Whishaw,Alexander Black","Comedy,Drama",2016
569,Money Monster,98,Jodie Foster,"George Clooney, Julia Roberts, Jack O'Connell,Dominic West","Crime,Drama,Thriller",2016
570,The Other Woman,109,Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau","Comedy,Romance",2014
571,Enchanted,107,Kevin Lima,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey","Animation,Comedy,Family",2007
572,The Intern,121,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo,Anders Holm","Comedy,Drama",2015
573,Little Miss Sunshine,101,Jonathan Dayton,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin","Comedy,Drama",2006
574,Bleed for This,117,Ben Younger,"Miles Teller, Aaron Eckhart, Katey Sagal, CiarÃ¡n Hinds","Biography,Drama,Sport",2016
575,Clash of the Titans,106,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng","Action,Adventure,Fantasy",2010
576,The Finest Hours,117,Craig Gillespie,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana","Action,Drama,History",2016
577,Tron,125,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner","Action,Adventure,Sci-Fi",2010
578,The Hunger Games: Catching Fire,146,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman","Action,Adventure,Mystery",2013
579,All Good Things,101,Andrew Jarecki,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe","Crime,Drama,Mystery",2010
580,Kickboxer: Vengeance,90,John Stockwell,"Dave Bautista, Alain Moussi, Gina Carano, Jean-Claude Van Damme",Action,2016
581,The Last Airbender,103,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone,Dev Patel","Action,Adventure,Family",2010
582,Sex Tape,94,Jake Kasdan,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper","Comedy,Romance",2014
583,What to Expect When You're Expecting,110,Kirk Jones,"Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid","Comedy,Drama,Romance",2012
584,Moneyball,133,Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman","Biography,Drama,Sport",2011
585,Ghost Rider,114,Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long","Action,Fantasy,Thriller",2007
586,Unbroken,137,Angelina Jolie,"Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund","Biography,Drama,Sport",2014
587,Immortals,110,Tarsem Singh,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff","Action,Drama,Fantasy",2011
588,Sunshine,107,Danny Boyle,"Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh","Adventure,Sci-Fi,Thriller",2007
589,Brave,93,Mark Andrews,"Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters","Animation,Adventure,Comedy",2012
590,MÃ¤n som hatar kvinnor,152,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Ewa FrÃ¶ling,Lena Endre","Drama,Mystery,Thriller",2009
591,Adoration,112,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville","Drama,Romance",2013
592,The Drop,106,MichaÃ«l R. Roskam,"Tom Hardy, Noomi Rapace, James Gandolfini,Matthias Schoenaerts","Crime,Drama,Mystery",2014
593,She's the Man,105,Andy Fickman,"Amanda Bynes, Laura Ramsey, Channing Tatum,Vinnie Jones","Comedy,Romance,Sport",2006
594,Daddy's Home,96,Sean Anders,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church","Comedy,Family",2015
595,Let Me In,116,Matt Reeves,"Kodi Smit-McPhee, ChloÃ« Grace Moretz, Richard Jenkins, Cara Buono","Drama,Horror,Mystery",2010
596,Never Back Down,110,Jeff Wadlow,"Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet","Action,Drama,Sport",2008
597,Grimsby,83,Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Rebel Wilson,Freddie Crowder","Action,Adventure,Comedy",2016
598,Moon,97,Duncan Jones,"Sam Rockwell, Kevin Spacey, Dominique McElligott,Rosie Shaw","Drama,Mystery,Sci-Fi",2009
599,Megamind,95,Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey","Animation,Action,Comedy",2010
600,Gangster Squad,113,Ruben Fleischer,"Sean Penn, Ryan Gosling, Emma Stone, Giovanni Ribisi","Action,Crime,Drama",2013
601,Blood Father,88,Jean-FranÃ§ois Richet,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks","Action,Crime,Drama",2016
602,He's Just Not That Into You,129,Ken Kwapis,"Jennifer Aniston, Jennifer Connelly, Morgan Lily,Trenton Rogers","Comedy,Drama,Romance",2009
603,Kung Fu Panda 3,95,Alessandro Carloni,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","Animation,Action,Adventure",2016
604,The Rise of the Krays,110,Zackary Adler,"Matt Vael, Simon Cotton, Kevin Leslie, Olivia Moyles","Crime,Drama",2015
605,Handsome Devil,95,John Butler,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Moe Dunford",Drama,2016
606,Winter's Bone,100,Debra Granik,"Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone",Drama,2010
607,Horrible Bosses,98,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe","Comedy,Crime",2011
608,Mommy,139,Xavier Dolan,"Anne Dorval, Antoine-Olivier Pilon, Suzanne ClÃ©ment,Patrick Huard",Drama,2014
609,Hellboy II: The Golden Army,120,Guillermo del Toro,"Ron Perlman, Selma Blair, Doug Jones, John Alexander","Action,Adventure,Fantasy",2008
610,Beautiful Creatures,124,Richard LaGravenese,"Alice Englert, Viola Davis, Emma Thompson,Alden Ehrenreich","Drama,Fantasy,Romance",2013
611,Toni Erdmann,162,Maren Ade,"Sandra HÃ¼ller, Peter Simonischek, Michael Wittenborn,Thomas Loibl","Comedy,Drama",2016
612,The Lovely Bones,135,Peter Jackson,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon","Drama,Fantasy,Thriller",2009
